propensao,nome,cnpj,porte,bairro,endereco,idade_anos,unidades,arquetipo,tel_1,tel_1_tipo,tel_1_whatsapp,tel_1_corrigido,tel_2,tel_2_tipo,tel_2_whatsapp,email
0.7360,INSTITUTO ODONTOLOGICO VERSALLES,17.444.115/0001-78,DEMAIS,ASA SUL,"SETOR DE RADIO E TELEVISAO SUL QUADRA 701 CONJUNTO L BLOCO 02, 30, SALA  524, ASA SUL, CEP 70340906, Brasilia/DF",13,1,clinica_institucional,(61) 3201-3124,fixo,+556132013124,,(61) 3322-7901,fixo,+556133227901,arnaldqf@gmail.com
0.7360,REABILIT CONCEPT ODONTOLOGIA E ESTETICA,10.714.354/0001-51,ME,ASA SUL,"SETOR SRTVS QUADRA 701 CONJUNTO D BLOCO B SALAS 633 E 634, 280, EDIF  CENTRO EMP BRASILIA, ASA SUL, CEP 70340907, Brasilia/DF",17,1,especialista_alto_ticket,(61) 3201-2211,fixo,+556132012211,,,,,reabilitodontologia@gmail.com
0.7355,NOVITA ODONTOLOGIA E ESTETICA OROFACIAL,17.865.474/0001-07,EPP,RECANTO DAS EMAS,"QUADRA QUADRA 102 , AVENIDA RECANTO DAS EMAS, LOTE, 04, LOJA  14, RECANTO DAS EMAS, CEP 72600200, Brasilia/DF",13,1,especialista_alto_ticket,(61) 9 8551-9955,celular,+5561985519955,sim,,,,novitaodonto@hotmail.com
0.7340,ADRIANA DOURADO ODONTOLOGIA INTEGRATIVA LTDA,24.815.828/0001-66,EPP,ASA NORTE,"QUADRA SCN QD 02 BLOCO D, SN, SALA  615                       ENTRADA B                 SHOPPING LIBERTYMALL, ASA NORTE, CEP 70712904, Brasilia/DF",10,1,marca_pessoal,(61) 9 9617-8300,celular,+5561996178300,sim,,,,dourado_adriana@hotmail.com
0.7340,NASP ODONTOLOGIA,24.765.876/0001-97,EPP,ASA SUL,"SETOR SGA/S QUADRA 915 CONJUNTO O SALA, 19,       2 SUBSOLO           EDIF  ADVANCE 2ND, ASA SUL, CEP 70390150, Brasilia/DF",10,1,clinica_geral,(61) 9 8125-0306,celular,+5561981250306,sim,,,,nayaperes@gmail.com
0.7340,CONSULTORIO MARILIA AZEVEDO,23.347.709/0001-63,EPP,ASA NORTE,"SETOR SCN QUADRA 5 BLOCO A, 50, SALA  1008, ASA NORTE, CEP 70715010, Brasilia/DF",10,1,clinica_geral,(61) 3032-6627,fixo,+556130326627,,(61) 3245-2947,fixo,+556132452947,
0.7325,INTEGRALI ODONTOLOGIA HOSPITALAR ESPECIALIZADA,41.364.674/0001-52,EPP,ASA NORTE,"QUADRA SRTVN QUADRA 701 ALA A CONJUNTO C SALA, 715, ASA NORTE, CEP 70719903, Brasilia/DF",5,1,clinica_institucional,(61) 9 9848-5396,celular,+5561998485396,sim,,,,
0.7325,CLINICA VERVE,35.502.062/0001-86,EPP,ASA NORTE,"SETOR SHLN, S/N, SALA  113                 BLOCO A                   EDIF  BIOSPHERE HEALTH CE CONJ  I, ASA NORTE, CEP 70770560, Brasilia/DF",6,1,clinica_geral,(61) 9 8353-6262,celular,+5561983536262,sim,,,,verve.odontologia@gmail.com
0.7325,CLINICA ODONTO ART,11.124.399/0001-39,DEMAIS,RIACHO FUNDO I,"QUADRA QN 05 CONJUNTO 05 LOTE, 11, SALA  101, RIACHO FUNDO I, CEP 71805405, Brasilia/DF",16,1,clinica_geral,(61) 3491-2138,fixo,+556134912138,,,,,
0.7325,VIVAODONTO,11.669.692/0001-81,DEMAIS,SOBRADINHO,"QUADRA SB QUADRA 05 COMERCIO LOCAL 03 LOJAS 04 E, 06, SOBRADINHO, CEP 73005080, Brasilia/DF",16,1,clinica_geral,(61) 3591-7530,fixo,+556135917530,,,,,
0.7325,IOLL - INSTITUTO ODONTOLOGICO LUCIANO E LETICIA,10.955.861/0001-87,DEMAIS,RIACHO FUNDO I,"QUADRA RF QUADRA NORTE  05 CONJUNTO 05 LOTE 11 SALA, 201, RIACHO FUNDO I, CEP 71805405, Brasilia/DF",17,1,clinica_institucional,(61) 3404-5870,fixo,+556134045870,,,,,
0.7325,ODONTOCLINICA GUARA,09.391.602/0001-91,EPP,GUARA II,"QUADRA QE 42, CONJUNTO A, LOTE 14, SN,       PAVIMENTO TERREO, GUARA II, CEP 71070015, Brasilia/DF",18,1,clinica_geral,(61) 3301-2107,fixo,+556133012107,,,,,
0.7325,VISTA ODONTO E ESTETICA,36.070.938/0001-25,ME,NORTE (AGUAS CLARAS),"RUA DAS FIGUEIRAS, LOTE, 07, SALA  701, NORTE (AGUAS CLARAS), CEP 71906750, Brasilia/DF",6,1,especialista_alto_ticket,(61) 3977-0988,fixo,+556139770988,,,,,jamile.aguiar89@gmail.com
0.7325,JULIANA SARKIS ODONTOLOGIA E HARMONIZACAO FACIAL,42.976.210/0001-60,ME,ASA SUL,"QUADRA SGAS 610 CONJUNTO F BLOCO 02 SALA, 139, ASA SUL, CEP 70200700, Brasilia/DF",5,1,marca_pessoal,(61) 9 9251-5335,celular,+5561992515335,sim,,,,goldcontabilidadetjw@gmail.com
0.7325,ORTHOLIFE DEJ,35.358.280/0001-99,ME,ASA SUL,"SETOR SCS QUADRA, 07, BLOCO A                   SALA  906/908                   PAT. BRASIL SHOPPING, ASA SUL, CEP 70307902, Brasilia/DF",6,1,especialista_alto_ticket,(61) 3032-8082,fixo,+556130328082,,,,,
0.7325,CLINICA HARMONIZE,41.455.420/0001-40,ME,SETOR HABITACIONAL VICENTE PIRES,"RUA RUA 5 CHACARA 121B LOTE 1B, 01, LOJA  01 E 02., SETOR HABITACIONAL VICENTE PIRES, CEP 72006055, Brasilia/DF",5,1,especialista_alto_ticket,(61) 3397-3453,fixo,+556133973453,,(61) 9 8358-8833,celular,+5561983588833,clinicaharmonizebsb@gmail.com
0.7320,LE FORT,22.479.316/0001-40,ME,SETOR SUDOESTE,"SETOR SHCSW CHSW BLOCOS 3/4/5, SL 109, TERREO, SETOR SUDOESTE, CEP 70673416, Brasilia/DF",11,1,clinica_geral,(61) 9 9122-8000,celular,+5561991228000,sim,,,,tenentedentista@gmail.com
0.7320,CONFIALLE ODONTOLOGIA ESPECIALIZADA,23.650.124/0001-18,ME,ASA SUL,"QUADRA SHCS CR QUADRA 502 BLOCO C, SN, LOJA  37 - PARTE 3858, ASA SUL, CEP 70330530, Brasilia/DF",10,1,clinica_institucional,(61) 3376-2224,fixo,+556133762224,,,,,gerenciaconfialle@gmail.com
0.7320,FINESSE ODONTOLOGIA,25.255.899/0001-14,ME,ASA NORTE,"QUADRA SMHN QUADRA 2 BLOCO B CONSULTORIO, 507, ASA NORTE, CEP 70710146, Brasilia/DF",10,1,clinica_geral,(61) 9 9286-2913,celular,+5561992862913,sim,,,,finesseodontologia@gmail.com
0.7320,ODONTOEST,08.519.032/0001-00,ME,SETOR SUDOESTE,"QUADRA CLSW 303 BLOCO B SALA, 18, SETOR SUDOESTE, CEP 70673622, Brasilia/DF",19,1,especialista_alto_ticket,(61) 3967-2008,fixo,+556139672008,,(61) 3352-8493,fixo,+556133528493,
0.7320,ARGUI ODONTOLOGIA E ESTETICA OROFACIAL,09.273.971/0001-80,ME,ASA SUL,"QUADRA SRTVS QUADRA 701 BLOCO O, 110, SALA  742, ASA SUL, CEP 70340000, Brasilia/DF",18,1,especialista_alto_ticket,(61) 3323-8722,fixo,+556133238722,,,,,
0.7315,ORTHO FENIX,12.224.566/0001-86,EPP,CEILANDIA NORTE (CEILANDIA),"QUADRA QNO 4 CONJUNTO B, S/N, LOTE  02                  SALA  202, CEILANDIA NORTE (CEILANDIA), CEP 72250402, Brasilia/DF",16,1,especialista_alto_ticket,(61) 3333-7633,fixo,+556133337633,,,,,contabltda@hotmail.com
0.7310,INSTITUTO ODONTOLOGICO LUIZ ROGERIO,04.637.236/0001-94,DEMAIS,ASA SUL,"SETOR SRTVS QD. 701 BLOCO K, S/N, SALA  409                 EDIF  EMBASSY TOWER, ASA SUL, CEP 70340908, Brasilia/DF",25,1,clinica_institucional,(61) 3225-2527,fixo,+556132252527,,,,,
0.7310,VANDERLENE SANCHES ODONTOLOGIA ESTETICA,37.090.370/0001-77,ME,ASA SUL,"QUADRA SGAS 610, CONJUNTO F, BLOCO 01, SALA 206, S/N, ASA SUL, CEP 70200700, Brasilia/DF",34,1,especialista_alto_ticket,(61) 3326-4031,fixo,+556133264031,,,,,clinicavanderlene@gmail.com
0.7310,INSTITUTO NORTHO,04.250.267/0001-98,ME,ASA NORTE,"SETOR SCN QUADRA 05, 50, BLOCO A                   SALA  214, ASA NORTE, CEP 70715900, Brasilia/DF",25,1,especialista_alto_ticket,(61) 3328-7162,fixo,+556133287162,,,,,
0.7305,COIFE ODONTO BRASILIA,23.244.004/0001-10,DEMAIS,TAGUATINGA CENTRO (TAGUATINGA),"QUADRA C 7 LOTE, 04, LOJA  02, TAGUATINGA CENTRO (TAGUATINGA), CEP 72010070, Brasilia/DF",11,1,clinica_geral,(61) 3562-0303,fixo,+556135620303,,(61) 9 9637-2760,celular,+5561996372760,coifeodontotaguatinga@gmail.com
0.7305,CLINUS ODONTOLOGIA,07.392.891/0001-18,EPP,SOBRADINHO,"QUADRA QUADRA 8 COMERCIO LOCAL 3, S/N, SALA  502 504 506         EDIF  SERRA VERDE, SOBRADINHO, CEP 73006010, Brasilia/DF",21,1,clinica_geral,(61) 3387-3877,fixo,+556133873877,,,,,
0.7305,HARMONYS ODONTOLOGIA ESPECIALIZADA,50.050.258/0001-70,EPP,SUL (AGUAS CLARAS),"AVENIDA PAU BRASIL EDIFICIO LE QUARTIER AGUAS CLARAS GALLERIE & BURE, SN, ANDAR 9                   SALA  928, SUL (AGUAS CLARAS), CEP 71926000, Brasilia/DF",3,1,clinica_institucional,(61) 9 8569-8190,celular,+5561985698190,sim,,,,ramosingrid65@gmail.com
0.7305,LP ESTETICA E ODONTOLOGIA,57.750.274/0001-15,EPP,SUL (AGUAS CLARAS),"AVENIDA PAU BRASIL, LOTE10, SALA  534, SUL (AGUAS CLARAS), CEP 71926000, Brasilia/DF",1,1,especialista_alto_ticket,(61) 9 9643-9881,celular,+5561996439881,sim,,,,luisaaldana@live.com
0.7300,FERRER ODONTOLOGIA,25.092.064/0001-90,DEMAIS,ASA SUL,"QUADRA SGAS 616, SN,       CONJUNTO A  BLOCO B       SALAS 135 E 137, ASA SUL, CEP 70200760, Brasilia/DF",10,1,clinica_geral,(61) 3346-6546,fixo,+556133466546,,,,,ferrerodontologia@hotmail.com
0.7300,ODONTOCORP,24.884.433/0001-15,DEMAIS,ASA SUL,"SETOR SRTVS QUADRA 701 CONJUNTO L BLOCO 02 SALAS 202 E 204, 30,       PARTE A97, ASA SUL, CEP 70340906, Brasilia/DF",10,1,clinica_geral,(61) 9 9983-3495,celular,+5561999833495,sim,,,,anderson@consistimplante.com.br
0.7300,IMOB,15.916.024/0001-62,EPP,ASA SUL,"QUADRA SEPS 709/909, SN, CONJ  A                   BLOCO A                   SALA  114 E 115, ASA SUL, CEP 70390095, Brasilia/DF",14,1,clinica_geral,(61) 3264-8122,fixo,+556132648122,,,,,processo@kelsoneassociados.com.br
0.7295,CLINICA ORTORISO,04.401.387/0001-49,EPP,SOBRADINHO,"QUADRA 08 BLOCO 22 LOTE 04 SALAS 01 E, 02, SOBRADINHO, CEP 73005080, Brasilia/DF",25,2,multi_unidade,(61) 615910002,indefinido,,,,,,
0.7295,INSTITUTO LSP - ODONTOLOGIA E MEDICINA,02.574.424/0001-95,EPP,TAGUATINGA,"LOC  QSA 21 CASA 19, S/N, TAGUATINGA, CEP 72015210, Brasilia/DF",34,2,multi_unidade,(61) 9 9132-4648,celular,+5561991324648,sim,(61) 9 9971-0730,celular,+5561999710730,diretoria.odontomed@gmail.com
0.7290,FACE UNIC,42.948.311/0001-27,DEMAIS,TAGUATINGA SUL (TAGUATINGA),"QUADRA QSA 12, LT 9, TAGUATINGA SUL (TAGUATINGA), CEP 72015120, Brasilia/DF",5,1,especialista_alto_ticket,(47) 3036-6262,fixo,+554730366262,,,,,paralegal01@rhcontabilidade.com.br
0.7285,CENTURIONE CLINICA ODONTOLOGICA LTDA,27.793.174/0001-05,EPP,ASA NORTE,"QUADRA SCN QUADRA 2 BLOCO D, SN, SALA  529A, ASA NORTE, CEP 70712904, Brasilia/DF",9,1,clinica_geral,(61) 9 9215-2623,celular,+5561992152623,sim,,,,juliana.nascentes@gmail.com
0.7285,INSTITUTO PROCERAM DE ODONTOLOGIA LTDA,29.180.298/0001-40,EPP,ASA NORTE,"QUADRA SCN QUADRA 1 BLOCO G SALA, 405, ASA NORTE, CEP 70711070, Brasilia/DF",8,1,clinica_institucional,(61) 9 8182-5700,celular,+5561981825700,sim,,,,proceramodontologia@gmail.com
0.7280,MAX CONTROL ODONTOLOGIA,06.036.504/0001-48,DEMAIS,ASA SUL,"SETOR SRTVS QD 701 CONJ E BLOCO 03, 130, SALA  314, ASA SUL, CEP 70340902, Brasilia/DF",22,1,clinica_geral,(61) 3225-1690,fixo,+556132251690,,,,,
0.7280,ORTHOPED - CLINICA ODONTOLOGICA LTDA,09.654.663/0001-02,ME,ASA NORTE,"SETOR SRTVN QUADRA 701 CONJUNTO C, 124, SALA  231                       ALA B, ASA NORTE, CEP 70719030, Brasilia/DF",18,1,especialista_alto_ticket,(61) 3327-1078,fixo,+556133271078,,(61) 9 8196-0114,celular,+5561981960114,crenatoandradef@gmail.com
0.7275,ORTOFIX - ORTODONTIA E REABILITACAO ORAL LTDA,04.590.228/0001-30,EPP,GUARA II,"QUADRA QE 15 BLOCO A LOTE  30, SN, GUARA II, CEP 71065010, Brasilia/DF",25,1,especialista_alto_ticket,(61) 3382-2700,fixo,+556133822700,,,,,processos.contau@gmail.com
0.7275,CLINICA ORTODONTICA MAROSO SOCIEDADE SIMPLES LTDA (S/S LTDA),72.575.822/0001-01,EPP,GAMA,"SETOR SETOR NORTE Q 1 CJ B LT 316, S/N, GAMA, CEP 72430102, Brasilia/DF",32,1,especialista_alto_ticket,(61) 3384-2088,fixo,+556133842088,,,,,clinicamaroso@gmail.com
0.7270,EL SHADDAI ODONTOLOGIA ESPECIALIZADA,38.078.036/0001-60,DEMAIS,ASA SUL,"OUTROS SEP/SUL EQ 710/910 CONJUNTO D SALA, 507, ASA SUL, CEP 70390108, Brasilia/DF",32,1,clinica_institucional,(61) 3442-1033,fixo,+556134421033,,,,,odontoelshaddai@gmail.com
0.7270,CLINICA ODONTOLOGICA RIEKEHR LTDA,03.797.165/0001-24,EPP,ASA NORTE,"SETOR SCN QUADRA 02 BLOCO D ENTRADA A, SN, SALA  1114 E 1116, ASA NORTE, CEP 70712904, Brasilia/DF",26,1,clinica_geral,(61) 3328-9613,fixo,+556133289613,,,,,kurt@solar.com.br
0.7270,HUMANUS,03.618.253/0001-11,EPP,ASA NORTE,"SC/NORTE QUADRA 05 BLOCO A, 50, SALAS 1122 E 1123, ASA NORTE, CEP 70310500, Brasilia/DF",38,1,clinica_geral,(61) 3327-2900,fixo,+556133272900,,,,,
0.7270,ORUS CLINICA ODONTOLOGICA,00.233.776/0001-51,EPP,ASA SUL,"SETOR SRTVS QUADRA 701 BLOCO O, 110, SALA  155 E 157, ASA SUL, CEP 70340000, Brasilia/DF",31,1,clinica_geral,(61) 3202-4800,fixo,+556132024800,,,,,orusclinica@gmail.com
0.7270,STUDIO SETTI ODONTOLOGIA INTEGRADA,32.913.071/0001-71,EPP,ASA NORTE,"SETOR SDN CONJUNTO A SALA 4023, S/N, ASA NORTE, CEP 70077900, Brasilia/DF",37,1,clinica_geral,(61) 3326-6562,fixo,+556133266562,,,,,clinicamiranda14@gmail.com
0.7270,CLINICA ODONTOLOGICA ROSE MEIRY PRATA,01.495.685/0001-57,EPP,ASA NORTE,"QUADRA SCN QUADRA 2, SN, BLOCO D ENTRADA B         SALA  725, ASA NORTE, CEP 70712000, Brasilia/DF",29,1,clinica_geral,(61) 3328-0693,fixo,+556133280693,,,,,clinicaroseprata@yahoo.com.br
0.7270,COI CENTRO ODONTOLOGICO,26.417.105/0001-34,EPP,ASA NORTE,"SEP/NORTE QUADRA 504 BLOCO C, 31, LJS 06 E 10 1.SUBSOLO, ASA NORTE, CEP 70735530, Brasilia/DF",36,1,clinica_institucional,(61) 3326-1956,fixo,+556133261956,,(61) 3326-8852,fixo,+556133268852,coi504norte@gmail.com
0.7270,IORIS,02.241.910/0001-91,EPP,ASA SUL,"SETOR HOTELEIRO SUL QUADRA, 06, CONJ  A                   BLOCO C                   SALA  911 A 915, ASA SUL, CEP 70316902, Brasilia/DF",28,1,clinica_institucional,(61) 3034-8222,fixo,+556130348222,,,,,gerencia@strapazzon.com.br
0.7270,CENTRO DE ODONTOLOGIA INTEGRADA SIMONE CARRARA,01.481.024/0001-72,EPP,ASA SUL,"QUADRA SGAS QUADRA 610 CONJUNTO F BLOCO 01 SALA S-11, S/N, ASA SUL, CEP 70200700, Brasilia/DF",29,1,clinica_institucional,(61) 3245-1016,fixo,+556132451016,,,,,gerencia@simonecarrara.com.br
0.7270,ORTOBR CLINICA ODONTOLOGICA,01.156.430/0001-60,EPP,ASA NORTE,"SETOR COMERCIAL NORTE - QUADRA 02 - BLOCO D - ENTRADA A, S/N, SALAS 525 E 527, ASA NORTE, CEP 70712903, Brasilia/DF",30,1,clinica_geral,(61) 3326-5157,fixo,+556133265157,,,,,edmilsonbr@hotmail.com
0.7265,INSTITUTO MOOI,50.021.920/0001-64,DEMAIS,NORTE (AGUAS CLARAS),"RUA COPAIBA LOTE, 1, BLOCO TOR. B SALA 617 619, NORTE (AGUAS CLARAS), CEP 71919540, Brasilia/DF",3,1,clinica_institucional,(61) 9 8510-8302,celular,+5561985108302,sim,(00) 0000000000,indefinido,,pedrooabdf@gmail.com
0.7265,CENTRO ODONTOLOGICO SORRISO,05.045.512/0001-98,EPP,TAGUATINGA SUL (TAGUATINGA),"QUADRA QSD 13, SN, LOTE: 02;, TAGUATINGA SUL (TAGUATINGA), CEP 72020130, Brasilia/DF",24,2,multi_unidade,(61) 3351-3283,fixo,+556133513283,,(61) 3963-4866,fixo,+556139634866,clinicasorrisodf@yahoo.com.br
0.7265,DENTAL CARE,52.008.069/0001-65,EPP,ASA NORTE,"QUADRA SDN CNB, S/N, SALA  4126, ASA NORTE, CEP 70077900, Brasilia/DF",3,1,especialista_alto_ticket,(61) 9 8499-2839,celular,+5561984992839,sim,,,,junior.nascido1998@gmail.com
0.7260,SAUDE MASTER CLINICA MEDICA E ODONTOLOGICA,19.503.310/0001-57,DEMAIS,ASA SUL,"QUADRA SEPS 714/914 CONJUNTO C N., 30, SALA  309, ASA SUL, CEP 70390145, Brasilia/DF",12,1,clinica_geral,(61) 3348-4812,fixo,+556133484812,,,,,manage.contabilidade@gmail.com
0.7260,CIFAIS,01.580.192/0002-04,DEMAIS,ASA SUL,"SETOR SHCS CR QUADRA 512 BLOCO A, S/N, LOJA  77 - TERREO, ASA SUL, CEP 70361515, Brasilia/DF",21,1,clinica_geral,(61) 3048-9184,fixo,+556130489184,,,,,contabilidade.cifais@gmail.com
0.7250,SIRIUS ODONTOLOGIA,04.610.336/0001-27,EPP,ASA NORTE,"SETOR SCN QUADRA 1 BLOCO C, 85, SALA  701, ASA NORTE, CEP 70711902, Brasilia/DF",25,1,clinica_geral,(61) 3327-0415,fixo,+556133270415,,,,,sirius@siriusodontologia.com.br
0.7250,RZ ODONTOLOGIA,02.080.013/0001-43,EPP,ASA NORTE,"SETOR SCN QUADRA 05 BLOCO A, SN, SALA  1302 E 1303               BRASILIA SHOPPING, ASA NORTE, CEP 70715900, Brasilia/DF",28,1,clinica_geral,(61) 3321-0999,fixo,+556133210999,,,,,
0.7250,UNIFACE,01.004.643/0001-76,EPP,ASA NORTE,"SETOR SDN LOTE, SN, CONJ  A                   SALA  6001 E 6003, ASA NORTE, CEP 70077900, Brasilia/DF",30,1,clinica_geral,(61) 3326-9902,fixo,+556133269902,,,,,
0.7245,ODONTO SAM,20.876.422/0001-32,DEMAIS,SAMAMBAIA SUL (SAMAMBAIA),"QUADRA QN 310 CONJUNTO 1 LOTE, 01, SALA  07/08 PARTE, SAMAMBAIA SUL (SAMAMBAIA), CEP 72306701, Brasilia/DF",12,1,clinica_geral,(61) 3358-2188,fixo,+556133582188,,,,,odonto-sam@hotmail.com
0.7245,INOV ODONTOLOGIA ESPECIALIZADA,18.223.435/0001-60,DEMAIS,SETOR INDUSTRIAL (TAGUATINGA),"QUADRA QI 19, S/N, LOTE  01 / 03 / 05 / 07   LOJA  04 TERREO, SETOR INDUSTRIAL (TAGUATINGA), CEP 72135190, Brasilia/DF",13,1,clinica_institucional,(61) 3201-9899,fixo,+556132019899,,,,,bruno37536@gmail.com
0.7245,CLINICA ODONTOLOGICA ORTODENTE UNIDADE RIACHO FUNDO II,25.117.708/0001-58,DEMAIS,RIACHO FUNDO II,"QUADRA QN 7F CONJUNTO 7 CASA 43 A, 43, RIACHO FUNDO II, CEP 71880067, Brasilia/DF",10,1,clinica_geral,(61) 3358-7485,fixo,+556133587485,,,,,gilbertovieiram@hotmail.com
0.7245,ALEGRA ORTODONTIA,10.235.177/0001-20,ME,TAGUATINGA SUL,"AVENIDA CSB 2 LT 1/2/3/4 SL 932/934, S/N,       TORRE B                   ALAMEDA TOWER, TAGUATINGA SUL, CEP 72015525, Brasilia/DF",18,1,especialista_alto_ticket,(61) 3201-7422,fixo,+556132017422,,,,,renatocontabil@terra.com.br
0.7245,IMPLORTHO CENTER,12.688.066/0001-03,ME,RIACHO FUNDO I,"QUADRA NORTE 07 CONJUNTO 06 LOTE 34, S/N, RIACHO FUNDO I, CEP 71805706, Brasilia/DF",15,1,especialista_alto_ticket,(61) 3321-5187,fixo,+556133215187,,,,,
0.7245,DF IMPLANTE,10.245.243/0001-43,ME,SAMAMBAIA SUL (SAMAMBAIA),"QUADRA QS 112 CONJUNTO 8, 10, SAMAMBAIA SUL (SAMAMBAIA), CEP 72302548, Brasilia/DF",18,1,especialista_alto_ticket,(61) 3256-4060,fixo,+556132564060,,,,,marcosafsousa@hotmail.com
0.7245,ORTHODONTIC,43.228.043/0001-31,EPP,SETOR HABITACIONAL VICENTE PIRES,"RUA RUA 4A CHACARA 01 LOTE, 05, SALA  101/102/103/104, SETOR HABITACIONAL VICENTE PIRES, CEP 72006253, Brasilia/DF",5,1,especialista_alto_ticket,(61) 3435-5240,fixo,+556134355240,,,,,vicentepires@ortodonticcenter.com.br
0.7240,TRIADE ODONTOLOGIA INTEGRADA,05.826.865/0001-25,ME,ASA SUL,"QUADRA SEPS 705/905 CONJUNTO B SALAS 218, 220 E 222, SN, ASA SUL, CEP 70390055, Brasilia/DF",23,1,clinica_institucional,(61) 9 9591-0990,celular,+5561995910990,sim,,,,triade.cesarfferraz@gmail.com
0.7240,MELINA ALMEIDA ODONTOLOGIA ESPECIALIZADA,09.439.676/0001-50,ME,ASA NORTE,"SETOR STN CONJUNTO O NUMERO 30 CONSULTORIO 109 E 111, SN, ASA NORTE, CEP 70770100, Brasilia/DF",18,1,clinica_institucional,(61) 3340-7480,fixo,+556133407480,,(61) 9 9275-2929,celular,+5561992752929,melina.almeida@gmail.com
0.7240,ODONTOCENTER AGUAS CLARAS,09.409.306/0001-70,ME,AGUAS CLARAS,"AVENIDA DAS CASTANHEIRAS LOTE, 820, SALA  401 E 403, AGUAS CLARAS, CEP 71900100, Brasilia/DF",18,1,clinica_geral,(61) 3039-1929,fixo,+556130391929,,,,,odontocenteraguasclaras@gmail.com
0.7240,IEEP ODONTOLOGIA,08.329.432/0001-52,ME,ASA SUL,"SETOR SRTVS QUADRA 701,BLOCO O, 110, SALA  619 620 E 621       EDIF  MULTIEMPRESARIAL, ASA SUL, CEP 70340000, Brasilia/DF",19,1,clinica_institucional,(61) 3323-1644,fixo,+556133231644,,,,,
0.7240,CLINPRO,08.882.327/0001-46,ME,AREAL (AGUAS CLARAS),"QUADRA QUADRA QS 5 AVENIDA AREAL LOTE, 18, LOJA  02, AREAL (AGUAS CLARAS), CEP 71955000, Brasilia/DF",19,1,clinica_geral,(61) 3047-4090,fixo,+556130474090,,,,,goretti@chavescontadores.com.br
0.7240,I.O.B - INSTITUTO ODONTOLOGICO BRASILIA,13.548.159/0001-97,ME,ASA SUL,"SETOR SRTVS QD 701 CONJUNTO E BLOCO 1, 12, SALA  510 E 512           EDIF  PAL. DO RADIO 01, ASA SUL, CEP 70340901, Brasilia/DF",15,1,clinica_institucional,(61) 9 8165-9608,celular,+5561981659608,sim,,,,silva.vanessa1987@gmail.com
0.7240,CLINICA ODONTOLOGICA DRA. LANI RODRIGUES CARNEIRO LTDA,06.277.104/0001-24,EPP,ASA NORTE,"SC/NORTE QUADRA 05 BLOCO A, 50, SALAS 1014 E 1015, ASA NORTE, CEP 70715900, Brasilia/DF",22,1,clinica_geral,,,,,,,,
0.7240,DUE ODONTOLOGIA ESTETICA,17.039.425/0001-07,ME,ASA SUL,"QUADRA SGAS 607, 203, CONJ  B                         CONSULTORIO 203           2 PAVIMENTO, ASA SUL, CEP 70200670, Brasilia/DF",13,1,especialista_alto_ticket,(61) 9 9333-6180,celular,+5561993336180,sim,,,,marlyvale@ig.com.br
0.7235,INDOR,11.106.067/0001-21,DEMAIS,SETOR DE HABITACOES INDIVIDUAIS SUL,"QUADRA SHIS QI 03 LTE C/D LOJAS 15 E 16, S/N, SETOR DE HABITACOES INDIVIDUAIS SUL, CEP 71625009, Brasilia/DF",16,1,clinica_institucional,(61) 3364-3908,fixo,+556133643908,,(61) 3561-2115,fixo,+556135612115,
0.7235,CARACAS ORTODONTIA,11.458.414/0001-85,DEMAIS,SETOR DE HABITACOES INDIVIDUAIS SUL,"QUADRA SHIS CL QI 11 BLOCO S, S/N, SALA  103, SETOR DE HABITACOES INDIVIDUAIS SUL, CEP 71625680, Brasilia/DF",16,1,especialista_alto_ticket,(61) 3034-0090,fixo,+556130340090,,,,,acl.cont@gmail.com
0.7230,IBO CLINICA E PLANTAO 24 HORAS,00.852.632/0001-83,DEMAIS,ASA SUL,"SHC/SUL CL QD 406 BLOCO A LOJAS 25 E 35, S/N, ASA SUL, CEP 70255510, Brasilia/DF",41,1,clinica_institucional,,,,,,,,
0.7225,AMICI ODONTOLOGIA,42.658.588/0001-15,EPP,SUL (AGUAS CLARAS),"AVENIDA PAU BRASIL LOTE, 10, SALA  1409, SUL (AGUAS CLARAS), CEP 71926000, Brasilia/DF",5,1,clinica_geral,(61) 9 9818-0077,celular,+5561998180077,sim,,,,clinicaamiciodontologia@gmail.com
0.7225,BRAVIN ODONTOLOGIA,44.190.444/0001-02,DEMAIS,ASA SUL,"QUADRA SHCS CR QUADRA 502 BLOCO C, S/N, LOJA  37                        PARTE 3708, ASA SUL, CEP 70330530, Brasilia/DF",4,1,especialista_alto_ticket,(61) 3234-5995,fixo,+556132345995,,,,,executiva.claudiocampelo@gmail.com
0.7225,DR PEDRO DE CARVALHO IMPLANTODONTIA & ESTETICA AVANCADA,47.380.411/0001-13,EPP,ASA NORTE,"SETOR SCN QUADRA 2 BLOCO D ENTRADA A, S/N, SALA  927, ASA NORTE, CEP 70712904, Brasilia/DF",4,1,marca_pessoal,(61) 3242-1250,fixo,+556132421250,,(00) 0000000000,indefinido,,xxxxxxxxxxx@xxxxxx.xxx.xx
0.7220,CASTELO BRANCO ODONTOLOGIA E CONSULTORIA,11.060.287/0001-61,DEMAIS,ASA NORTE,"QUADRA SCN QUADRA 2 BLOCO D, SN, SALA  306                       ENTRADA B, ASA NORTE, CEP 70712904, Brasilia/DF",17,1,clinica_geral,(61) 9 8450-7558,celular,+5561984507558,sim,,,,cboodonto@gmail.com
