posicao,nota_capacidade,razao_social,nome_fantasia,cnpj_formatado,cnae,cnae_descricao,endereco,bairro,municipio,telefone,telefone_2,email,data_inicio_atividade,idade_meses,porte,porte_desc,opcao_simples,capital_social,n_unidades_br,n_unidades_df,n_ufs,natureza_juridica_desc,tipo_negocio,franquia,endereco_suspeito,n_cnpjs_mesma_sala,n_cnpjs_mesmo_predio,origem_recorte,validado_receita,validacao_data,validacao_situacao,nota_capacidade_conta
113,71,DENTCARE - CENTRO INTEGRADO DE ODONTOLOGIA LTDA,DENTCARE,01.506.950/0001-55,8630504,Atividade odontológica,"QUADRA SETOR COMERCIAL SUL QUADRA 07 BLOCO A, 100,       SALA 901, 903, ASA SUL, CEP 70307970, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 30321488,,,1996-10-31,358,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,72400.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 71 | NOTA 71/100
114,71,CENTRO ODONTOLOGICO AVANCADO LTDA,CENTRO DE ODONTOLOGIA AVANCADA,26.963.843/0001-87,8630504,Atividade odontológica,"SETOR SRTVS QUADRA 701 CONJUNTO E BLOCOS 02 E 04, 70, SALA  325 326 327 328, ASA SUL, CEP 70340902, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 33212223,(61) 33212227,coadf2016@gmail.com,1990-12-28,428,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,85,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 71 | NOTA 71/100
115,71,CISB - CENTRO INTEGRADO DE SAUDE BUCAL LTDA,CISB,37.067.584/0001-22,8630504,Atividade odontológica,"QSA 02, S/N, LOTE 04, TAGUATINGA, CEP 72015020, Brasilia/DF",TAGUATINGA,Brasilia/DF,,,jcbr@brnet.com.br,1992-01-21,415,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,12,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 71 | NOTA 71/100
116,71,IGM ODONTOPEDIATRIA SOCIEDADE SIMPLES LIMITADA,IGM ODONTOPEDIATRIA,05.469.139/0001-00,8630504,Atividade odontológica,"SETOR SCN QUADRA 05 BLOCO A, SN, SALA  1209                EDIF  BRASILIA SHOPPING         AND TOWERS, ASA NORTE, CEP 70715900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 32721097,,igm.odontopediatria@gmail.com,2003-01-08,283,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,50000.00,1,1,1,Sociedade Simples Limitada,clinica,nao,nao,1,130,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 71 | NOTA 71/100
117,71,INOR - INTEGRACAO ODONTOLOGICA LTDA.,INOR,01.273.182/0001-37,8630504,Atividade odontológica,"SETOR SRTVS BLOCO LOTES, 70, QUADRA701                 CONJ  E                   BLOCO 02 E 04             SALA  535 E 536, ASA SUL, CEP 70340902, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 33220533,,clinica.inor@gmail.com,1996-06-14,362,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,85,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 71 | NOTA 71/100
118,71,ESPACO ODONTOLOGICO SORRISO LTDA,CENTRO ODONTOLOGICO SORRISO,05.045.512/0001-98,8630504,Atividade odontológica,"QUADRA QSD 13, SN, LOTE: 02;, TAGUATINGA SUL (TAGUATINGA), CEP 72020130, Brasilia/DF",TAGUATINGA SUL (TAGUATINGA),Brasilia/DF,(61) 33513283,(61) 39634866,clinicasorrisodf@yahoo.com.br,2002-04-24,292,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,0.00,2,2,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,3,cnae_principal,,,,porte 32 + capital_social 0 + n_unidades 9 + regime_tributario 16 + maturidade 14 = 71 | NOTA 71/100
119,70,VENITI ODONTOLOGIA LTDA,VENITI ODONTOLOGIA,44.550.342/0001-50,8630504,Atividade odontológica,"RUA COPAIBA LOTE, 01,       TORRE A             SALA  1601 A 1604, NORTE (AGUAS CLARAS), CEP 71919540, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 91198306,,venitiodontologia@gmail.com,2021-12-10,56,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sim,800000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,889,cnae_principal,,,,porte 32 + capital_social 22 + n_unidades 4 + regime_tributario 6 + maturidade 6 = 70 | NOTA 70/100
120,70,CLINICA BRUNA NATALI LTDA,CLINICA BRUNA NATALI,58.386.507/0001-05,8630504,Atividade odontológica,"QUADRA SHIS QI 11 BLOCO S, 109, SETOR DE HABITACOES INDIVIDUAIS SUL, CEP 71625680, Brasilia/DF",SETOR DE HABITACOES INDIVIDUAIS SUL,Brasilia/DF,(61) 83002233,(0000) 00000000,a2nassessoriaempresarial@gmail.com,2024-12-09,20,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,500000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 32 + capital_social 22 + n_unidades 4 + regime_tributario 9 + maturidade 3 = 70 | NOTA 70/100
121,70,BONATTI ODONTOLOGIA LTDA,ODONTOCOMPANY,41.195.922/0001-89,8630504,Atividade odontológica,"RUA 08 NORTE, LOTES 04, 06 E, 08, BLOCO C                   LOJA  10, NORTE (AGUAS CLARAS), CEP 71908360, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 92799307,,contato@sscosmeticos.com,2021-03-12,65,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,300000.00,1,1,1,Sociedade Empresaria Limitada,clinica,sim,nao,1,7,cnae_principal,,,,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 80 | penalidades: franquia -10 | NOTA 70/100
122,70,INSTITUTO ODONTOLOGICO CAMILA RICO LTDA,INSTITUTO CAMILA RICO,44.786.511/0001-56,8630504,Atividade odontológica,"QUADRA QSD 18 LOTE, 15, SALA  06/08, TAGUATINGA SUL (TAGUATINGA), CEP 72020180, Brasilia/DF",TAGUATINGA SUL (TAGUATINGA),Brasilia/DF,(61) 99999999,,contabilidade@gmail.com,2022-01-07,55,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,300000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 9 + maturidade 6 = 70 | NOTA 70/100
123,70,JWS ODONTOLOGIA INTEGRADA LTDA,INTEGRALI ODONTOLOGIA HOSPITALAR ESPECIALIZADA,41.364.674/0001-52,8630504,Atividade odontológica,"QUADRA SRTVN QUADRA 701 ALA A CONJUNTO C SALA, 715, ASA NORTE, CEP 70719903, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 98485396,,,2021-03-26,65,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sim,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 70 | NOTA 70/100
124,70,VERVE CLINICA ODONTOLOGICA LTDA,CLINICA VERVE,35.502.062/0001-86,8630504,Atividade odontológica,"SETOR SHLN, S/N, SALA  113                 BLOCO A                   EDIF  BIOSPHERE HEALTH CE CONJ  I, ASA NORTE, CEP 70770560, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 83536262,,verve.odontologia@gmail.com,2019-11-13,81,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sim,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,74,cnae_principal,,,,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 6 + maturidade 9 = 70 | NOTA 70/100
125,70,DENTAL BR COMERCIO DE PRODUTOS ODONTOLOGICOS 165DF LTDA,DENTAL BR COMERCIO DE PRODUTOS ODONTOLOGICOS,28.950.460/0002-80,8630504,Atividade odontológica,"QUADRA C 1, LOTE 01/12, SALA 609, PARTE B, SN, TAGUATINGA CENTRO (TAGUATINGA), CEP 72010010, Brasilia/DF",TAGUATINGA CENTRO (TAGUATINGA),Brasilia/DF,(61) 30221557,,paulo@mirandacontabilidade.com,2018-12-24,92,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,120000.00,2,1,1,Sociedade Empresaria Limitada,comercio_industria,nao,nao,1,48,cnae_principal,,,,porte 32 + capital_social 16 + n_unidades 9 + regime_tributario 16 + maturidade 9 = 82 | penalidades: fora_do_icp_comercio_industria -12 | NOTA 70/100
126,70,CLINICA CONCEPT ODONTOLOGIA E MEDICINA LTDA,CLINICA CONCEPT ODONTOLOGIA E MEDICINA,40.269.762/0001-02,8630504,Atividade odontológica,"RUA COPAIBA, 01, SALA  1914 E 1916 TORRE B, NORTE (AGUAS CLARAS), CEP 71919540, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 81760468,,concept@conceptclinica.com,2021-01-06,67,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,105000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,889,cnae_principal,,,,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 70 | NOTA 70/100
127,70,ODONTOLOGIA FEME LTDA,FEME ODONTOLOGIA,39.251.969/0001-70,8630504,Atividade odontológica,"AVENIDA AVENIDA SANDU NORTE, QUADRA QI 2, LOTES 2/4, S/N,       CONSULTORIO DE 1 A 4, SETOR INDUSTRIAL (TAGUATINGA), CEP 72135020, Brasilia/DF",SETOR INDUSTRIAL (TAGUATINGA),Brasilia/DF,(61) 92969050,,contabilidade.613@terra.com.br,2020-09-30,71,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,105000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,24,cnae_principal,,,,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 70 | NOTA 70/100
128,70,LUCAS VALENTIM ODONTOLOGIA LTDA,LUCAS VALENTIM ODONTOLOGIA,35.916.939/0001-85,8630504,Atividade odontológica,"SETOR SHCS SQS 414 BL F, S/N, APT   209, PLANO PILOTO, CEP 70297060, Brasilia/DF",PLANO PILOTO,Brasilia/DF,(61) 32421250,,lucas.valentim15@hotmail.com,2020-01-07,79,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,4,cnae_principal,,,,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 9 + maturidade 9 = 70 | NOTA 70/100
129,70,REALIZAR ODONTOLOGIA LTDA,REALIZAR ODONTOLOGIA,15.299.713/0001-75,8630504,Atividade odontológica,"QUADRA CLN 7 BLOCO G LOTE, 04, SALA  102, RIACHO FUNDO I, CEP 71805547, Brasilia/DF",RIACHO FUNDO I,Brasilia/DF,(61) 30332409,,goldcontabilidade.df@hotmail.com,2012-03-08,173,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sim,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,6,cnae_principal,,,,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 6 + maturidade 12 = 70 | NOTA 70/100
130,70,AVANCE ODONTOLOGIA INTEGRADA LTDA,AVANCE ODONTOLOGIA INTEGRADA,48.795.592/0001-01,8630504,Atividade odontológica,"QUADRA QE 11 AREA ESPECIAL L, SN, EDIF  GUARA OFFICE        SALA  121 E 122, GUARA I, CEP 71020721, Brasilia/DF",GUARA I,Brasilia/DF,(61) 99652474,(0000) 00000000,avanceodontologia1554@gmail.com,2022-12-02,44,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,87000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,10,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 70 | NOTA 70/100
131,70,AMBAR ODONTOLOGIA ESPECIALIZADA LTDA,AMBAR ODONTOLOGIA ESPECIALIZADA,47.132.179/0001-02,8630504,Atividade odontológica,"QUADRA QS 316 CONJUNTO 7 LOTE, 01/09, SALA  203, SAMAMBAIA SUL (SAMAMBAIA), CEP 72308527, Brasilia/DF",SAMAMBAIA SUL (SAMAMBAIA),Brasilia/DF,(61) 41415590,,xxxxxxxxxxxxxx@xxxx.xxx.xx,2022-07-13,49,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,60000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,11,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 70 | NOTA 70/100
132,70,BUCHER ODONTOLOGIA LTDA,BUCHER ODONTOLOGIA,48.417.294/0001-88,8630504,Atividade odontológica,"SETOR SMHN QUADRA, 02, BLOCO B                         CONS 1210/1211, ASA NORTE, CEP 70710100, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 93811390,,recepcao@bucherodontologia.com,2022-10-26,46,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,8,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 70 | NOTA 70/100
133,70,CLINICA DE CIRURGIA MAXILO FACIAL LTDA,BE SURGERY,45.673.094/0001-06,8630504,Atividade odontológica,"SETOR SDN SETOR DE DIVERSAO NORTE, CONJUNTO A, S/N, SALA  5011                CONJ  NACIONAL, ASA NORTE, CEP 70077900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 91951731,(61) 84175000,valdorneto@gmail.com,2022-03-15,53,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,295,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 70 | NOTA 70/100
134,70,FW ARAUJO ODONTOLOGIA LTDA,INSTITUTO ODONTOLOGICO ARAUJO,43.592.136/0001-40,8630504,Atividade odontológica,"QUADRA QN 212 CONJUNTO G LOTE, 01, SALA  101, SAMAMBAIA NORTE (SAMAMBAIA), CEP 72316537, Brasilia/DF",SAMAMBAIA NORTE (SAMAMBAIA),Brasilia/DF,(61) 41037553,,instodontoaraujo@gmail.com,2021-09-21,59,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 70 | NOTA 70/100
135,70,LAYS AZULAY ODONTOLOGIA DF LTDA,AZULAY ODONTOLOGIA,44.225.989/0001-07,8630504,Atividade odontológica,"QUADRA SEPS 710/910 CONJUNTO D SALA, 525, SALA  Z, ASA SUL, CEP 70390108, Brasilia/DF",ASA SUL,Brasilia/DF,(98) 92387395,,laysazulay87@gmail.com,2021-11-12,57,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,13,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 70 | NOTA 70/100
136,70,MTTENORIO ODONTOLOGIA LTDA,ODONTONORTE AGUAS CLARAS,45.716.942/0001-09,8630504,Atividade odontológica,"RUA RUA 37 LOTE, 01, LOJA  04, NORTE (AGUAS CLARAS), CEP 71919360, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 34473045,,odontonorteac@hotmail.com,2022-03-21,53,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,19,cnae_principal,,,,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 70 | NOTA 70/100
137,70,VERTHO ODONTOLOGIA ESPECIALIZADA LTDA,VERTHO ODONTOLOGIA ESPECIALIZADA,06.154.401/0001-82,8630504,Atividade odontológica,"SD/NORTE CONJUNTO A SALA, 4.098, CONJUNTO NAC BRASILIA, ASA NORTE, CEP 70077900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 3998138,,contelb@contelb.com.br,2004-03-11,269,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,45000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
138,70,CLINICA ODONTOLOGICA DENT PREMIER LTDA,CLINICA ODONTO ART,11.124.399/0001-39,8630504,Atividade odontológica,"QUADRA QN 05 CONJUNTO 05 LOTE, 11, SALA  101, RIACHO FUNDO I, CEP 71805405, Brasilia/DF",RIACHO FUNDO I,Brasilia/DF,(61) 34912138,,,2009-09-09,203,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,30000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
139,70,HODOSDF INSTITUTO DE ODONTOLOGIA LTDA,HODOSDF,12.492.089/0001-30,8630504,Atividade odontológica,"SETOR SIA TRECHO 4 LOTE, 1130, SALA  203, 204, 205, 206,       207, 208, 209, 211,       217, 218, SIA, CEP 71200040, Brasilia/DF",SIA,Brasilia/DF,(61) 30392511,,,2010-09-02,191,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,30000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,7,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
140,70,MAGALHAES & GUIMARAES CLINICA ODONTOLOGICA LTDA,HUMANIZA ODONTOLOGIA ESPECIALIZADA,13.068.898/0001-81,8630504,Atividade odontológica,"QUADRA SMHN QD 02 BL C SALAS 314/315, SN, ASA NORTE, CEP 70710149, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 33271629,,humanizaodonto@gmail.com,2011-01-04,187,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,25000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,14,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
141,70,VIVAODONTO CLINICA ODONTOLOGICA LTDA,VIVAODONTO,11.669.692/0001-81,8630504,Atividade odontológica,"QUADRA SB QUADRA 05 COMERCIO LOCAL 03 LOJAS 04 E, 06, SOBRADINHO, CEP 73005080, Brasilia/DF",SOBRADINHO,Brasilia/DF,(61) 35917530,,,2010-02-26,198,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,25000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
142,70,CARVALHO EMPREENDIMENTO ODONTOLOGICO LTDA,IOLL - INSTITUTO ODONTOLOGICO LUCIANO E LETICIA,10.955.861/0001-87,8630504,Atividade odontológica,"QUADRA RF QUADRA NORTE  05 CONJUNTO 05 LOTE 11 SALA, 201, RIACHO FUNDO I, CEP 71805405, Brasilia/DF",RIACHO FUNDO I,Brasilia/DF,(61) 34045870,,,2009-07-08,205,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,20000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
143,70,DENTISTA POPULAR VOLTE A SORRIR LTDA,SORRIA TAGUATINGA-AQUI TEM DENTISTAS,10.955.886/0001-80,8630504,Atividade odontológica,"QUADRA C 8 LOTE, 04, SALA  102 E 201, TAGUATINGA CENTRO (TAGUATINGA), CEP 72010080, Brasilia/DF",TAGUATINGA CENTRO (TAGUATINGA),Brasilia/DF,(61) 33513470,,,2009-07-08,205,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,20000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
144,70,ELIANA MORESCHI - CLINICA ODONTOLOGICA LTDA,CLINICA ELIANA MORESCHI ODONTOLOGIA,04.679.624/0001-38,8630504,Atividade odontológica,"SETOR MED. HOSP. NORTE QUADRA 02 BLOCO C, 44, SALA  1416 E 1417, ASA NORTE, CEP 70710100, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 33268424,,,2001-09-10,299,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,20000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,16,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
145,70,ORTIS SERVICOS ODONTOLOGICOS LTDA,REDE ODONTO,13.499.675/0001-79,8630504,Atividade odontológica,"RUA QS 01 RUA 210 LOTE, 40, SALA  519                 SALA  520 E 528           ANDAR 5 TORRE B, AGUAS CLARAS, CEP 71950904, Brasilia/DF",AGUAS CLARAS,Brasilia/DF,(61) 82007777,,lancamentos01@redeodonto.com.br,2011-04-07,184,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,20000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,172,cnae_principal,,,,porte 28 + capital_social 8 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
146,70,CLINICA ODONTOLOGICA OLIVEIRA LTDA,ODONTOGAM,03.871.051/0001-87,8630504,Atividade odontológica,"QUADRA CNC 3 LOTE 15, S/N, SALA  101, TAGUATINGA NORTE (TAGUATINGA), CEP 72115535, Brasilia/DF",TAGUATINGA NORTE (TAGUATINGA),Brasilia/DF,(61) 33450769,,crisaito@yahoo.com.br,2000-04-11,316,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,17950.00,1,1,1,Sociedade Simples Limitada,clinica,nao,nao,1,25,cnae_principal,,,,porte 32 + capital_social 4 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
147,70,CLINICA ODONTOLOGICA ODONTOGUARA LTDA,ODONTOCLINICA GUARA,09.391.602/0001-91,8630504,Atividade odontológica,"QUADRA QE 42, CONJUNTO A, LOTE 14, SN,       PAVIMENTO TERREO, GUARA II, CEP 71070015, Brasilia/DF",GUARA II,Brasilia/DF,(61) 33012107,,,2008-02-28,222,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,15000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,4,cnae_principal,,,,porte 32 + capital_social 4 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
148,70,CENTRO CLINICO ODONTOLOGICO DO DF LTDA,CLINO-DF/VISO,02.316.770/0001-73,8630504,Atividade odontológica,"EQ 31/33 CENTRO COMUNAL II, S/N, LOTE 05 SALA 416, GUARA II, CEP 71065315, Brasilia/DF",GUARA II,Brasilia/DF,(61) 95918902,,francielylima.arq@gmail.com,1998-01-14,343,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,10000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,26,cnae_principal,,,,porte 32 + capital_social 4 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
149,70,CLINICA ODONTOLOGICA DENTOCLINICA LTDA,DENTOCLINICA,02.532.655/0001-36,8630504,Atividade odontológica,"QUADRA QS 410 CONJUNTO D LOTES, 1 A 3, SALA  213, SAMAMBAIA NORTE (SAMAMBAIA), CEP 72320524, Brasilia/DF",SAMAMBAIA NORTE (SAMAMBAIA),Brasilia/DF,(61) 33587765,,,1998-05-22,339,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,10000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,,,,porte 32 + capital_social 4 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
150,70,CLINICA ODONTOLOGICA SANTIAGO LTDA,CLINICA ODONTOLOGICA SANTIAGO,00.638.168/0001-27,8630504,Atividade odontológica,"QUADRA SCS QUADRA 7, 100, BLOCO A                   SALA  1224, ASA SUL, CEP 70307000, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 30369449,,ortodontiasantiago@hotmail.com,1995-06-07,374,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,10000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,18,cnae_principal,,,,porte 32 + capital_social 4 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
151,70,FOCCUS SERVICOS DE ODONTOLOGIA LTDA,FOCCUS ODONTOLOGIA,10.543.461/0001-64,8630504,Atividade odontológica,"SETOR ST SEPS 709/909, SN, CONJ  A                   BLOCO A                   SALA  316/ 317            EDIF  JULIO ADNET, ASA SUL, CEP 70390095, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 81757712,,foccusprime01@gmail.com,2008-12-02,212,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,10000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,92,cnae_principal,,,,porte 32 + capital_social 4 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 70 | NOTA 70/100
