cnpj_basico,cnpj,identificador_matriz_filial,razao_social,nome_fantasia,cnae_fiscal_principal,cnae_descricao,origem_recorte,cnae_fiscal_secundaria,logradouro,numero,complemento,bairro,cep,id_municipio,telefone_1,telefone_2,email,data_inicio_atividade,idade_meses,porte,capital_social,natureza_juridica,opcao_simples,data_opcao_simples,opcao_mei,n_unidades_df,n_unidades_br,n_ufs,n_cnpjs_no_endereco,endereco_suspeito
08923158,08923158000145,1,IOE INSTITUTO DE ODONTOLOGIA ESPECIALIZADA LTDA,IOE INSTITUTO DE ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,,SETOR STN,30,CONJ  O CONSULTORIOS            220 E 222,ASA NORTE,70770911,5300108,(61) 33495659,,ioe_odontologia@hotmail.com,2007-06-21,230,5,88000.0,2062,,,,1,1,1,12,true
07841518,07841518000105,1,SIMETRIC ODONTOLOGIA LTDA,SIMETRIC ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,SETOR SETOR CENTRAL Q 49 PROJECAO 3,S/N,LOJA  04,GAMA,72405493,5300108,(61) 33851776,,shoppingdodentegama@gmail.com,2006-02-08,246,1,88000.0,2062,,,,1,1,1,4,false
24505863,24505863000189,1,CLINICA ODONTOLOGICA AMANDA DE FARIA MONTEIRO 446DF LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA QNP 25 CONJUNTO A LOTE,14,,CEILANDIA NORTE (CEILANDIA),72242101,5300108,(61) 81611532,,arcondp@gmail.com,2016-04-01,124,1,88000.0,2062,1,2026-01-01,0,1,1,1,1,false
21125926,21125926000183,1,ODONTO MIZIARA LTDA,ODONTO MIZIARA,8630504,Atividade odontológica,cnae_principal,,AVENIDA COMERCIAL LOTE,1441,LOJA  2                   SETOR TRADICIONAL,SAO SEBASTIAO,71691153,5300108,(61) 82338411,,,2014-09-24,143,3,88000.0,2062,0,2015-01-01,0,1,1,1,2,false
21819137,21819137000142,1,FLEURY CLINICA ODONTOLOGICA LTDA,FLEURY ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,QUADRA 4 CONJUNTO 4 LOTE,3,LOJA  1,SETOR HABITACIONAL VICENTE PIRES - TRECHO 3,72001372,5300108,(61) 81870936,,fleuryodontologia2019@gmail.com,2015-02-03,138,1,88000.0,2062,1,2026-01-01,0,1,1,1,2,false
24755556,24755556000156,1,LUMINI ODONTOLOGIA ESPECIALIZADA LTDA,LUMINI ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,8640205,"QUADRA QS 3 EPCT LOTES 03,05,07 E 09",S/N,SALA  809 E 810,AREAL (AGUAS CLARAS),71953000,5300108,(61) 35478436,,lumini.odonto@gmail.com,2016-05-09,123,1,88000.0,2062,1,2016-05-09,0,1,1,1,159,true
25173753,25173753000120,1,HARMONY ODONTOLOGIA ESPECIALIZADA LTDA,GOE,8630504,Atividade odontológica,cnae_principal,8640205,"SETOR SRTVS QUADRA 701, CONJUNTO L, BLOCO 02",38,SALA  432 434 436,ASA SUL,70340000,5300108,(61) 32026160,,catielig@yahoo.com.br,2016-07-11,121,1,88000.0,2062,,,,1,1,1,57,true
25025483,25025483000100,1,CISO CLINICA INTEGRADA DE SAUDE ODONTOLOGICA LTDA,CISO CLINICA INTEGRADA DE SAUDE ODONTOLOGICA,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA CSB 02 LOTES 1 A 4 TORRE A SALA,707,,TAGUATINGA SUL,72015901,5300108,(61) 92927640,,alamedaciso@gmail.com,2016-06-17,122,3,88000.0,2062,,,,1,1,1,1,false
24639029,24639029000186,1,CLINICA ODONTOLOGICA CUNHA & MOREIRA LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA QNP 16 CONJUNTO X LOTE 8A LOJA 01,PARTE,,CEILANDIA SUL (CEILANDIA),72231623,5300108,(61) 98177070,,kleyttonn@hotmail.com,2016-04-20,124,1,88000.0,2062,1,2025-01-01,0,1,1,1,1,false
02417992,02417992000182,1,CLINICA DE PERIODONTIA RACHEL BELLO LTDA,,8630504,Atividade odontológica,cnae_principal,,SD/N CONJUNTO A SALA 4112,S/N,,ASA NORTE,70077900,5300108,(0610) 3217987,,,1998-03-19,341,1,88000.0,2062,,,,1,1,1,295,true
24683631,24683631000110,1,RUFINO CENTRO DE SAUDE INTEGRADO DO PSUL LTDA,RUFINO ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,QUADRA EQNP 16/20 AREA ESPECIAL B,SNUM,BLOCO B                   SALA  SALA 1,CEILANDIA SUL (CEILANDIA),72231572,5300108,(61) 99232241,,fazer@hotmail.com,2016-04-28,124,1,88000.0,2062,1,2016-04-28,0,1,1,1,2,false
24845609,24845609000120,1,PAULO ARAUJO ODONTOLOGIA LTDA,ARAUJO ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,"QUADRA SCN QUADRA 2, BLOCO D, ENTRADA B",SN,SALA  723                 EDIF  CENTRO EMP. ENCOL,ASA NORTE,70712903,5300108,(61) 96099998,,elealcontabilidade@gmail.com,2016-05-20,123,1,88000.0,2062,,,,1,1,1,90,true
19721825,19721825000123,1,ODONTO CM SERVICOS ODONTOLOGICOS LTDA,ODONTO CM,8630504,Atividade odontológica,cnae_principal,,SETOR DE INDUSTRIAS QUADRA 01 LOTE 1700/1780 LOJA 09,SN,EDIF  GAMAGGIORE          TERREOCOMERCIAL,SETOR LESTE (GAMA),72445000,5300108,(61) 36084821,,dr.felipecm@gmail.com,2014-02-14,150,1,88000.0,2062,0,2025-01-01,0,1,1,1,23,true
24250951,24250951000187,1,ODONTO Z ODONTOLOGIA DE A A Z LTDA,,8630504,Atividade odontológica,cnae_principal,,RUA COPAIBA LOTE,01,      TORRE A             SALA  2001 A 2008,NORTE (AGUAS CLARAS),71919540,5300108,(61) 35619800,,vinicius.conde@hotmail.com.br,2016-02-25,126,3,88000.0,2062,1,2023-01-01,0,1,1,1,889,true
24554408,24554408000173,1,ISO-INSTITUTO DE SAUDE ORAL 191DF LTDA,,8630504,Atividade odontológica,cnae_principal,3250706,AREA AE 20/21 LADO OESTE SL,101,EDIF  ALTERNATIVO CENTER  SALA  101,SETOR CENTRAL (GAMA),72405650,5300108,(61) 35639242,,dscontabil@globo.com,2016-04-08,124,1,88000.0,2062,0,2019-01-01,0,2,2,1,1,false
24765876,24765876000197,1,NAYARA PERES DE SOUSA TAVARES LTDA,NASP ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,9602502,SETOR SGA/S QUADRA 915 CONJUNTO O SALA,19,      2 SUBSOLO           EDIF  ADVANCE 2ND,ASA SUL,70390150,5300108,(61) 81250306,,nayaperes@gmail.com,2016-05-10,123,3,88000.0,2062,1,2024-01-01,0,1,1,1,1,false
48795592,48795592000101,1,AVANCE ODONTOLOGIA INTEGRADA LTDA,AVANCE ODONTOLOGIA INTEGRADA,8630504,Atividade odontológica,cnae_principal,,QUADRA QE 11 AREA ESPECIAL L,SN,EDIF  GUARA OFFICE        SALA  121 E 122,GUARA I,71020721,5300108,(61) 99652474,(0000) 00000000,avanceodontologia1554@gmail.com,2022-12-02,44,3,87000.0,2062,0,2022-12-02,0,1,1,1,10,true
31316351,31316351000130,1,HARMONIZZE ODONTOLOGIA E HARMONIZACAO OROFACIAL LTDA,HARMONIZZE,8630504,Atividade odontológica,cnae_principal,9602502,"RUA 7 NORTE LOTES 3,5 E 7 LOJA",31,,AGUAS CLARAS,71908180,5300108,(61) 91522464,,clinicaharmonizze@gmail.com,2018-08-23,96,1,86000.0,2062,1,2024-01-01,0,1,1,1,1,false
56146011,56146011000139,1,ALLIANCE ODONTOLOGIA E ESTETICA LTDA,ALLIANCE ODONTOLOGIA E ESTETICA,8630504,Atividade odontológica,cnae_principal,,QUADRA QUADRA 4 CONJUNTO J LOTE,58,SALA  01,SETOR RESIDENCIAL LESTE (PLANALTINA),73360410,5300108,(61) 30553535,(0000) 00000000,clinica.alliance.df@gmail.com,2024-07-30,25,1,85000.0,2062,1,2024-07-30,0,1,1,1,3,false
46681039,46681039000112,1,CLINICA ODONTOLOGICA RB LTDA,ODONTOLOGIA CENTRAL,8630504,Atividade odontológica,cnae_principal,"3250706,3319800",QUADRA 18 CONJUNTO 14 LOTE,15,SALA  102,PARANOA,71571817,5300108,(61) 34085452,(0000) 00000000,centralodontoparanoa@gmail.com,2022-06-06,50,1,85000.0,2062,1,2022-06-06,0,1,1,1,2,false
05525628,05525628000124,1,ODONTOTAL CLINICA ODONTOLOGICA LTDA,ODONTOTAL,8630504,Atividade odontológica,cnae_principal,,SGA/SUL QD 607 CONJ B CONSULTORIOS 10/14,S/N,TERREO,ASA SUL,70200670,5300108,(61) 32445566,,contato@odontotal.com.br,2003-02-20,282,3,80000.0,2062,,,,1,1,1,51,true
57043041,57043041000182,1,M.E.S HARMONIZACAO OROFACIAL LTDA,MARJORIE EMANUELLE HARMONIZACAO OROFACIAL,8630504,Atividade odontológica,cnae_principal,9602502,SETOR STN CONJUNTO O CONSULTORIO 212,SN,,ASA NORTE,70770911,5300108,(61) 81720793,(0000) 00000000,marjorieemanuelle@hotmail.com,2024-08-28,24,1,80000.0,2062,1,2024-08-28,0,1,1,1,8,false
49405918,49405918000100,1,OCCLUSE ODONTOLOGIA E ESTETICA FACIAL LTDA,OCCLUSE ODONTOLOGIA E ESTETICA FACIAL,8630504,Atividade odontológica,cnae_principal,"9602502,8599604,4772500",RUA 25 SUL LOTE,30,BLOCO C LOJA 107,SUL (AGUAS CLARAS),71927180,5300108,(61) 82947372,,drerickrabelo@gmail.com,2023-01-31,43,1,80000.0,2062,1,2026-01-01,0,1,1,1,125,true
48101220,48101220000138,1,ESTETIC CLINICA ODONTOLOGICA LTDA,ESTETIC,8630504,Atividade odontológica,cnae_principal,3250706,QUADRA QNA 4 LOTE 33,SN,SALA  105,TAGUATINGA NORTE (TAGUATINGA),72110040,5300108,(61) 83170750,(0000) 00000000,cleidemariaalvestorres@gmail.com,2022-09-27,47,1,80000.0,2062,1,2022-09-27,0,1,1,1,12,true
36722610,36722610000146,1,D CASTRO ODONTOLOGIA ESPECIALIZADA LTDA,D'CASTRO ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA QS 1 RUA 210 LOTE,40,SALA  424,AREAL (AGUAS CLARAS),71950770,5300108,(61) 92938593,,dcastroodontologia@gmail.com,2020-03-19,77,1,80000.0,2062,1,2025-01-01,0,1,1,1,38,true
09318184,09318184000107,1,CENTRO DE REABILITACAO ORAL SORRIDENTES LTDA,CEROS,8630504,Atividade odontológica,cnae_principal,,QUADRA QI 25 BLOCO A SALA,222,EDIF  REAL MIX,GUARA II,71060250,5300108,(61) 35682041,,cerosdf.odontologia@gmail.com,2008-01-18,223,1,80000.0,2062,1,2026-01-01,0,1,1,1,1,false
29668098,29668098000131,1,ODONTOLOGIA CARNEIRO TAVARES LTDA,ODONTOLOGIA CARNEIRO TAVARES,8630504,Atividade odontológica,cnae_principal,,RUA RUA 4A CHACARA 111 CONJUNTO,02,LOTE  01                  LOJA  01,SETOR HABITACIONAL VICENTE PIRES,72006220,5300108,(61) 33813802,,marcel.alan@gmail.com,2018-02-09,102,1,80000.0,2062,,,,1,1,1,8,false
44319415,44319415000106,1,EXPERIENCE ODONTO PARANOA LTDA,EXPERIENCE ODONTO,8630504,Atividade odontológica,cnae_principal,,QUADRA QUADRA 30 CONJUNTO 22 LOTE,08,,PARANOA,71573030,5300108,(61) 98595930,,financeiro.experienceodonto@gmail.com,2021-11-22,57,1,80000.0,2062,0,2024-01-01,0,1,1,1,3,false
33416624,33416624000143,1,FAZ SORRISOS CEILANDIA LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA QNM 18 CONJUNTO E LOTE,04,,CEILANDIA NORTE (CEILANDIA),72210185,5300108,(11) 29506761,,juridico@dentistamais.com,2019-04-22,88,5,80000.0,2062,,,,1,1,1,4,false
22742934,22742934000131,1,QUALITA ODONTOLOGIA LTDA,QUALITA ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,QUADRA SGAS 915,SN,CONJ: N; SALA: 144; TERREO;,ASA SUL,70390150,5300108,(61) 30333729,(61) 30333721,islandeassuncao@uol.com.br,2015-06-26,134,5,80000.0,2062,0,2015-06-26,0,1,1,1,151,true
27316175,27316175000169,1,FABIANO E GISANE PINHEIRO ODONTOLOGIA LTDA,,8630504,Atividade odontológica,cnae_principal,"3250706,8640205",QUADRA J CONJUNTO J-2,21,,SETOR RESIDENCIAL OESTE (PLANALTINA),73343056,5300108,(61) 33081055,,contagil@gmail.com,2017-03-16,113,1,80000.0,2062,1,2017-03-16,0,1,1,1,1,false
23163036,23163036000272,2,SMILE DENTAL CENTER LTDA,,8630504,Atividade odontológica,cnae_principal,,SETOR SCN QD 05 BL A,S/N,SALA  1207                      BRASILIA SHOPPING,ASA NORTE/BRASILIA,70715900,5300108,(61) 36311968,(61) 98174864,smiledentalfsa@hotmail.com,2021-08-19,60,1,80000.0,2062,1,2026-01-01,0,1,2,2,165,true
18434643,18434643000109,1,ODONTOMELO CLINICA ODONTOLOGICA LTDA,CENTRO ODONTOLOGICO IMPLANTAR,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA QSC 18 LOTE,27,LOJA  03,TAGUATINGA SUL (TAGUATINGA),72016180,5300108,(61) 32084100,,fernandomelo2016@gmail.com,2013-07-03,157,3,80000.0,2062,,,,1,1,1,3,false
59418342,59418342000179,1,ARKADO CLINICA ODONTOLOGICA LTDA,ARKADO CLINICA ODONTOLOGICA,8630504,Atividade odontológica,cnae_principal,9602502,AVENIDA PAU BRASIL LOTE,10,SALA  1305                EDIF  LE QUARTIER,SUL (AGUAS CLARAS),71926000,5300108,(61) 85927220,(0000) 00000000,exatacontabilidadeconsultiva@gmail.com,2025-02-12,18,1,80000.0,2062,1,2025-02-12,0,1,1,1,329,true
07836557,07836557000106,1,SMILE CENTER ODONTOLOGIA ESPECIALIZADA LTDA,CLINICA SMILE CENTER,8630504,Atividade odontológica,cnae_principal,,QUADRA SETOR HOTELEIRO NORTE QUADRA 02 BL H LOJAS 87 E 91 SOBRELOJA,30,,ASA NORTE,70702000,5300108,(61) 33270046,,dr.marcos@smilecenter.com.br,2006-02-01,246,3,80000.0,2062,,,,1,1,1,2,false
22377315,22377315000195,1,CJ CLINICA ODONTOLOGICA LTDA,CJ CLINICA ODONTOLOGICA,8630504,Atividade odontológica,cnae_principal,3250706,QUADRA QNM 1 CONJUNTO H,SN,LOTE  36                  SALA  103,CEILANDIA SUL (CEILANDIA),72215018,5300108,(61) 98354236,,jcodontologia@gmail.com,2015-04-06,136,1,80000.0,2062,0,2022-01-01,0,1,1,1,12,true
40443094,40443094000198,1,E.L.B CENTRO AVANCADO DE ESTETICA LTDA,ERETUZA LIMA,8630504,Atividade odontológica,cnae_principal,"8599604,9602502",QUADRA SGAS 614 CONJ C SALA,02,TERREO                    EDIF  VITRIUM,ASA SUL,70200740,5300108,(61) 99123232,,tuzalima@hotmail.com,2021-01-18,67,1,80000.0,2062,1,2021-01-18,0,1,1,1,2,false
58809493,58809493000195,1,ZIGOMA ODONTOLOGIA ESPECIALIZADA LTDA,ZIGOMA ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,,SETOR SETOR M NORTE QNM 40 CJ G LT 39,S/N,,TAGUATINGA,72146007,5300108,(61) 33333333,(0000) 00000000,zigoma@gmail.com,2025-01-13,19,1,80000.0,2062,1,2025-01-13,0,1,1,1,3,false
21519924,21519924000179,1,J N DE ARAUJO ODONTOCLINICA LTDA,ODONTOCLINICA JUSSARA NOBREGA,8630504,Atividade odontológica,cnae_principal,,SETOR SCN QUADRA 2 BLOCO D,SN,BLOCO D ENTRADA A         SALA  426,ASA NORTE,70712903,5300108,(61) 32013100,(61) 81658986,odontoclinicajussaranobrega@gmail.com,2014-11-20,141,1,80000.0,2062,0,2015-01-01,0,1,1,1,90,true
40552600,40552600000187,1,STAR CLINICA ODONTOLOGICA INTEGRADA LTDA,ODONTO STAR,8630504,Atividade odontológica,cnae_principal,3250706,QUADRA AVENIDA RECANDO DAS EMAS COMERCIO LOCAL QUADRA,105,LOTE  18,RECANTO DAS EMAS,72601119,5300108,(61) 96874720,,sophia.ald@hotmail.com,2021-01-25,67,3,80000.0,2062,0,2023-01-01,0,1,1,1,1,false
17820495,17820495000106,1,TAVARES DE MELO CLINICA ODONTOLOGICA LTDA,ORTO MAIS IMPLANTES,8630504,Atividade odontológica,cnae_principal,3250706,SETOR SCC PROJECAO 9,SN,QUADRACENTRAL             SALA  705 707 709 E 711,SETOR CENTRAL (GAMA),72404090,5300108,(61) 82425333,,,2013-03-22,161,3,80000.0,2062,1,2025-01-01,0,1,2,2,10,true
23347709,23347709000163,1,MARILIA DE MOURA LIMA ROCHA AZEVEDO LTDA,CONSULTORIO MARILIA AZEVEDO,8630504,Atividade odontológica,cnae_principal,,SETOR SCN QUADRA 5 BLOCO A,50,SALA  1008,ASA NORTE,70715010,5300108,(61) 30326627,(61) 32452947,,2015-09-23,131,3,80000.0,2062,1,2015-09-23,0,1,1,1,28,true
22580698,22580698000102,1,IBI INSTITUTO BRASILIENSE DE IMPLANTODONTIA LTDA,IBI INSTITUTO BRASILIENSE DE IMPLANTODONTIA,8630504,Atividade odontológica,cnae_principal,,SETOR SRTVS BLOCO,0,BLOCO: K; SALA: 732; EDIF: EMBASSY TOWER;,ASA SUL,70340908,5300108,(61) 35415562,,fortecon.contabilidade@gmail.com,2015-05-22,135,5,80000.0,2062,0,2015-05-22,0,1,1,1,2,false
07631497,07631497000195,1,L & F ASSISTENCIA ODONTOLOGICA LTDA,ODONTOCLASS,8630504,Atividade odontológica,cnae_principal,,QUADRA SCN QUADRA 2 BLOCO D ENTRADA B SALA,716,SALA  717,ASA NORTE,70712040,5300108,(61) 32020428,(61) 91239350,odontoclass.lm@gmail.com,2005-09-06,251,3,80000.0,2062,1,2015-01-01,0,1,1,1,1,false
51844794,51844794000100,1,DOUTOR SAUDE LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA QS 3 LOTES,3/9,ANDAR 14 TORRE SUL SL 1414,AREAL (AGUAS CLARAS),71953000,5300108,(61) 30476177,(0000) 00000000,clinicasaluta3@gmail.com,2023-08-17,36,3,80000.0,2062,1,2026-01-01,0,1,1,1,6,false
04637236,04637236000194,1,INSTITUTO ODONTOLOGICO LUIZ ROGERIO LTDA,INSTITUTO ODONTOLOGICO LUIZ ROGERIO,8630504,Atividade odontológica,cnae_principal,,SETOR SRTVS QD. 701 BLOCO K,S/N,SALA  409                 EDIF  EMBASSY TOWER,ASA SUL,70340908,5300108,(61) 32252527,,,2001-08-17,300,5,80000.0,2062,1,2022-01-01,0,1,1,1,65,true
54908515,54908515000113,1,GS CENTRO CLINICO E ODONTOLOGICO LTDA,,8630504,Atividade odontológica,cnae_principal,"8650006,8650003,8650002",SETOR SETOR COMERCIAL SUL Q 1 CEB,S/N,BLOCO C                   LOJA  10                  EDIF  ANTONIO VENANCIO,BRASILIA,70301000,5300108,(61) 96237945,(0000) 00000000,coimbrascontabil@gmail.com,2024-04-26,28,1,80000.0,2062,1,2024-04-26,0,1,1,1,57,true
09149271,09149271000188,1,CBA CLINICA ODONTOLOGICA LTDA,CBA CLINICA ODONTOLOGICA,8630504,Atividade odontológica,cnae_principal,8630501,QUADRA CENTRAL SETOR HOTELEIRO BLOCO (COMERCIO) 3,SN,LOJA  72                  LOJA  76                  EDIF  POLY CENTER,SOBRADINHO,73010533,5300108,(61) 39633333,(61) 39633330,advogado@mardonedescamelo.com.br,2007-10-23,226,3,80000.0,2062,,,,1,1,1,2,false
28612415,28612415000216,2,CLINICA ODONTOLOGICA NEW ODONTO LTDA,NEW ODONTO,8630504,Atividade odontológica,cnae_principal,"3250706,9602502",SETOR SETOR N SUL/GUARIROBA EQNN 20/22 BL E LT 1/2,S/N,,CEILANDIA,72220565,5300108,(61) 81995471,,gean.filho.1221@gmail.com,2024-06-20,26,1,80000.0,2062,1,2026-01-01,0,1,2,2,2,false
08889002,08889002000195,1,ODONTO PRIME CENTRO ODONTOLOGICO BRASILIA DF LTDA,ODONTO PRIME CENTRO ODONTOLOGICO,8630504,Atividade odontológica,cnae_principal,,QUADRA QNM 17 CONJUNTO A LOTE,39/40,SALA  303 E 306,CEILANDIA SUL (CEILANDIA),72215171,5300108,(61) 30219150,(61) 81560157,odontoprimecobsb@gmail.com,2007-05-18,231,1,80000.0,2062,1,2007-07-01,0,1,1,1,1,false
58359157,58359157000198,1,AUSTRIACO & MORGADO ODONTO SAUDE LTDA,ELITE ODONTOLOGIA INTEGRADA,8630504,Atividade odontológica,cnae_principal,,SETOR SETOR CENTRAL C 2 LT 4/14/15,S/N,SALA  714,TAGUATINGA,72010020,5300108,(61) 33361614,(0000) 00000000,aline_austriaco@hotmail.com,2024-12-05,20,1,80000.0,2062,1,2024-12-05,0,1,1,1,55,true
52605038,52605038000191,1,ODONTOLOGIA STAR INTEGRADA LTDA,ODONTOSTAR TAGUATINGA,8630504,Atividade odontológica,cnae_principal,,QUADRA CNA 1 LOTE,17,LOJA  06,TAGUATINGA NORTE (TAGUATINGA),72110015,5300108,(61) 96874720,(0000) 00000000,sophia.ald@hotmail.com,2023-10-20,34,3,80000.0,2062,1,2026-01-01,0,1,1,1,4,false
16979115,16979115000100,1,CLINICA ODONTOLOGICA ORTHORIO LTDA,CLINICA ORTHORIO,8630504,Atividade odontológica,cnae_principal,,QUADRA QNO 09 CONJUNTO H LOTE 41 LOJA 01,SN,,CEILANDIA,72252098,5300108,(61) 41417926,,contabilidadeatual@hotmail.com,2012-08-15,168,1,80000.0,2062,0,2015-01-01,0,1,1,1,9,false
09051473,09051473000192,1,FR SERVICOS DE ODONTOLOGIA LTDA,CASA DO DENTE,8630504,Atividade odontológica,cnae_principal,"3250706,8640205",RUA 48 LOTE,240,      BAIRRO: CENTRO,SAO SEBASTIAO,71691010,5300108,(61) 35610025,,,2007-08-22,228,1,80000.0,2062,,,,1,1,1,1,false
54149011,54149011000167,1,ULISSES ODONTOLOGIA LTDA,ULISSES ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,"8640205,3250706",QUADRA QNM 1 CONJUNTO H LOTE,14,ANDAR PRIMEIRO,CEILANDIA SUL (CEILANDIA),72215018,5300108,(61) 96709009,(0000) 00000000,cdespeditojunior@gmail.com,2024-03-01,29,3,80000.0,2062,1,2025-01-01,0,1,1,1,2,false
47313199,47313199000171,1,JONATAS DE ARAUJO SOUSA LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA 07 LOTE,27,LOJA  01,VILA VICENTINA (PLANALTINA),73320070,5300108,(61) 99744623,(0000) 00000000,jonatas.cd@hotmail.com,2022-07-27,49,1,80000.0,2062,1,2022-07-27,0,1,1,1,1,false
30282807,30282807000125,1,F2J ODONTOLOGIA INTEGRADA,F2J ODONTOLOGIA INTEGRADA,8630504,Atividade odontológica,cnae_principal,"8640205,8640207,8640299",QUADRA SGAS 607 CONJUNTO B,S/N,TERREOCONSULTORIO 09      ANDAR 2 CONSULTORIO 222,ASA SUL,70200670,5300108,(61) 32445566,(61) 82491736,contecontabilidadeonline@gmail.com,2018-04-24,100,1,80000.0,2062,,,,1,1,1,51,true
01763417,01763417000179,1,COB CENTRO ORAL DE BRASILIA LTDA,,8630504,Atividade odontológica,cnae_principal,"7490199,8599604,8650099,8660700","SETOR SRTVN QUADRA 701, CONJUNTO C, NUMERO 124, SALA",316,      ALA A                     CENTRO EMPRESARIAL N,ASA NORTE,70719030,5300108,(61) 33274941,(61) 91857082,s.cob.clinica@gmail.com,1997-04-15,352,1,80000.0,2062,1,2025-01-01,0,1,1,1,1,false
55335302,55335302000102,1,INSTITUTO SEIDLER DE ODONTOLOGIA LTDA,,8630504,Atividade odontológica,cnae_principal,"8640205,9602502,8650004,7490199",SETOR SCN QD 02 BLOCO D ENTRADA B,S/N,SALA  233 E 234                 SHOPP. LIBERTY MALL,ASA NORTE,70712904,5300108,(61) 99878534,(0000) 00000000,odontoseidler@gmail.com,2024-05-29,27,1,80000.0,2062,,,,1,1,1,146,true
53562486,53562486000118,1,PRIORIZE ODONTOLOGIA E ESTETICA SS LTDA,PRIORIZE ODONTOLOGIA E ESTETICA,8630504,Atividade odontológica,cnae_principal,,QUADRA C 1 LOTES,1/12,SALA  310 E 311,TAGUATINGA CENTRO (TAGUATINGA),72010000,5300108,(61) 86190612,(0000) 00000000,priorizeodontologia@gmail.com,2024-01-18,31,1,80000.0,2062,0,2024-01-18,0,1,1,1,1,false
15578742,15578742000176,1,LUCIANA LUSTOSA ODONTOLOGIA LTDA,LUCIANA LUSTOSA ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,9602502,QUADRA SGAS 610,SN,BLOCO 2                   CONJ  F                   SALA  23 TERREO,ASA SUL,70200700,5300108,(61) 84897777,(61) 81757790,lucianalustosa.odonto@gmail.com,2012-05-03,171,1,80000.0,2062,,,,1,1,1,100,true
41106652,41106652000192,1,CLINICA CEMA ODONTOLOGIA LTDA,ORTOESTETICA AGUAS CLARAS,8630504,Atividade odontológica,cnae_principal,,RUA IPE AMARELO LOTE,8,SALA  01 E 02,SUL (AGUAS CLARAS),71937360,5300108,(61) 35538393,,ortoesteticaaguasclaras@gmail.com,2021-03-05,65,3,80000.0,2062,1,2026-01-01,0,1,1,1,8,false
47378324,47378324000121,1,DISTAL ODONTOLOGIA ESPECIALIZADA LTDA,DISTAL ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA QS 3 LOTE,03,SALA  416,AREAL (AGUAS CLARAS),71953000,5300108,(61) 94486720,(0000) 00000000,distalodontologia@gmail.com,2022-08-02,48,1,80000.0,2062,1,2026-01-01,0,1,1,1,33,true
44335580,44335580000143,1,GAMA MONTEIRO ODONTOLOGIA LTDA,ORAL DESIGN ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,,QUADRA QNA 54 LOTE,05,TERREO,TAGUATINGA NORTE (TAGUATINGA),72110540,5300108,(61) 82995290,,clinicamgmperio@gmail.com,2021-11-23,57,1,80000.0,2062,1,2021-11-23,0,1,1,1,3,false
07322367,07322367000170,1,CLINICA ODONTOLOGICA MAGALHAES E BARBOSA LTDA,RAME ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,QUADRA QNM 18 CJ A LT 8,S/N,SALA  102 103 E 104,CEILANDIA NORTE (CEILANDIA),72210181,5300108,(61) 33731413,,dr.rafaelbarbosa@hotmail.com,2005-03-23,257,1,80000.0,2062,1,2022-01-01,0,1,1,1,21,true
25025613,25025613000104,1,FOCUS CLINICA ODONTOLOGICA LTDA,021 DENTAL CONJUNTO NACIONAL BRASILIA ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,"SETOR SDN, CONJUNTO NACIONAL BRASILIA, SALA",6041,EDIF  TORRE AZUL,ASA NORTE,70077900,5300108,(61) 91951731,,marcelosalomao_@hotmail.com,2016-06-17,122,3,80000.0,2062,0,2016-06-17,0,1,1,1,1,false
26058181,26058181000109,1,CENTRO ODONTOLOGICO ODONTO PRIME BSB LTDA,IMPLANTO PRIME,8630504,Atividade odontológica,cnae_principal,8640205,SETOR SCS QUADRA 6 SUL BLOCO A NUMERO 141 SALA,205,,ASA SUL,70306000,5300108,(61) 30341598,,admodontoprimebsb@gmail.com,2016-08-30,120,1,80000.0,2062,0,2025-01-01,0,1,1,1,1,false
